"BAN_1","BAN","CAPITAL","city","agree","attendevent","EX14","IM14","EX15","IM15","設立日期","行業代號","名稱","行業代號_1","名稱_1","行業代號_2","名稱_2","行業代號_3","名稱_3"
28847056,"2076447F0F",5e+05,3,FALSE,1,0,0,0,0,970225,702099,"其他管理顧問服務",620199,"其他電腦軟體設計",NA,NA,NA,NA
28851614,"A9339D7566",6e+06,3,FALSE,2,5,0,1,0,970319,461999,"未分類其他建材批發",461515,"建材五金（螺絲、螺帽、鉚釘等金屬製品）批發",461516,"建材五金（基本金屬）批發","462299","其他化學製品批發"
28858784,"CD8A93F44D",2500000,3,FALSE,1,0,0,0,0,971104,464211,"電子器材、電子設備批發",451099,"其他商品經紀",NA,NA,NA,NA
28863301,"C5F5C36A38",3e+06,3,FALSE,10,23,0,8,0,970428,451099,"其他商品經紀",NA,NA,NA,NA,NA,NA
28865032,"CCE0859194",787054300,3,FALSE,44,55,8,30,0,970507,464111,"電腦及電腦週邊設備批發",464211,"電子器材、電子設備批發",NA,NA,NA,NA
28870730,"D1222D31F3",1e+07,3,FALSE,2,0,0,0,0,961109,456113,"家電（視聽設備除外）批發",456112,"家庭照明器材批發",456111,"家電材料批發","464211","電子器材、電子設備批發"
28872385,"AC05916DBA",2e+06,2,FALSE,6,24,0,12,0,961105,259999,"其他未分類金屬製品製造",NA,NA,NA,NA,NA,NA
28873814,"ADCE65430D",1.2e+07,2,FALSE,2,0,0,0,0,961109,461515,"建材五金（螺絲、螺帽、鉚釘等金屬製品）批發",474924,"家用光學產品零售",464211,"電子器材、電子設備批發","292800","電子及半導體生產用機械設備製造"
28874124,"E164FEDB05",7e+06,2,FALSE,1,0,0,0,0,961122,303011,"汽車電力系統製造",610014,"網際網路接取服務提供（ＩＡＳＰ）",NA,NA,NA,NA
28877255,"54720BE7E4",364735580,2,FALSE,0,6,1,10,1,961120,269999,"其他未分類電子零組件製造",451099,"其他商品經紀",NA,NA,NA,NA
28881574,"A4B71A6D7E",419200000,2,FALSE,0,32,34,30,10,961210,332900,"其他醫療器材及用品製造",475113,"醫療耗材零售",NA,NA,NA,NA
28886037,"D843F0F802",445972750,2,FALSE,16,18,0,18,0,961205,464211,"電子器材、電子設備批發",NA,NA,NA,NA,NA,NA
28895654,"F547FFD2D8",117650000,2,FALSE,1,56,0,68,1,961225,292999,"其他未分類專用機械設備製造",NA,NA,NA,NA,NA,NA
28896751,"5C6B4109B7",4.5e+07,2,FALSE,37,1,0,1,0,970117,457113,"醫療耗材批發",NA,NA,NA,NA,NA,NA
28898110,"54D67D0F28",5e+06,2,FALSE,7,0,0,0,0,961221,471999,"未分類其他綜合商品零售",932100,"遊樂園及主題樂園",NA,NA,NA,NA
28901488,"B1D9E66723",6e+06,2,FALSE,2,0,0,0,0,970114,469922,"寵物用品批發",485221,"寵物用品零售",NA,NA,NA,NA
28901889,"0AB8986D66",6e+07,2,FALSE,6,6,635,13,487,970115,464918,"實驗設備批發",464211,"電子器材、電子設備批發",464299,"其他電子設備及其零組件批發","269911","電子連接器（線）製造"
28902347,"F314FFF776",5e+05,2,FALSE,9,40,2,29,2,970102,465311,"汽車零件、汽車百貨批發",465314,"機車零件、機車百貨批發",461515,"建材五金（螺絲、螺帽、鉚釘等金屬製品）批發",NA,NA
28911280,"654A465852",6e+07,2,FALSE,1,24,0,21,0,971224,254200,"粉末冶金",251299,"其他金屬模具製造",332900,"其他醫療器材及用品製造","251199","其他金屬手工具製造"
28913512,"9CAC87DA2D",468715000,2,FALSE,17,327,108,307,104,970121,269999,"其他未分類電子零組件製造",NA,NA,NA,NA,NA,NA
28914435,"34ACC5BA7E",8e+07,2,FALSE,1,5,0,6,0,970125,464211,"電子器材、電子設備批發",NA,NA,NA,NA,NA,NA
28915785,"A8C8E7F63D",7500000,2,FALSE,7,1,5,2,4,970123,210200,"工業用橡膠製品製造",462299,"其他化學製品批發",465311,"汽車零件、汽車百貨批發","465314","機車零件、機車百貨批發"
28919500,"CD9A33BD8C",600400000,1,FALSE,10,359,3,311,3,970201,291212,"金屬切削成型工具機械製造",291900,"其他金屬加工用機械設備製造",241213,"鑄鋼件鑄造","241100","鋼鐵冶鍊"
28921180,"C8960E19A9",1e+08,1,FALSE,9,6,0,8,1,970213,303099,"其他汽車零件製造",312200,"機車零件製造",464211,"電子器材、電子設備批發","455199","其他布疋批發"
28922104,"7CD85D45F8",1e+07,1,FALSE,6,6,4,7,3,970130,465311,"汽車零件、汽車百貨批發",465314,"機車零件、機車百貨批發",484311,"汽車零件、汽車百貨零售","484314","機車零件、機車百貨零售"
28922569,"6909D041FF",8e+07,2,TRUE,6,1,0,1,0,970425,332900,"其他醫療器材及用品製造",464915,"醫療機械設備批發",NA,NA,NA,NA
28927136,"88BB96FB7F",1e+07,3,FALSE,1,0,0,1,0,970218,464211,"電子器材、電子設備批發",291900,"其他金屬加工用機械設備製造",NA,NA,NA,NA
28931271,"879086237",164500000,1,FALSE,3,0,0,0,0,970305,462213,"化學溶劑、工業添加劑批發",NA,NA,NA,NA,NA,NA
28931933,"6B78F8EA15",3e+06,3,FALSE,0,0,0,0,0,970303,464111,"電腦及電腦週邊設備批發",464112,"電腦套裝軟體批發",483299,"其他通訊設備零售",NA,NA
28931960,"196C1B2CD6",6e+07,2,FALSE,14,10,2,8,1,970304,464211,"電子器材、電子設備批發",461515,"建材五金（螺絲、螺帽、鉚釘等金屬製品）批發",NA,NA,NA,NA
28932551,"A269912C66",59650000,2,FALSE,0,0,0,0,0,970305,461412,"漆料及光油批發",464211,"電子器材、電子設備批發",462199,"其他化學原料批發","332900","其他醫療器材及用品製造"
28933334,"45A8CA48BA",9.8e+07,2,FALSE,7,3,0,1,0,970307,740200,"工業設計",620212,"系統規劃、分析及設計",610012,"無線通信服務",NA,NA
28937747,"D9C7A1BC2B",2e+07,2,FALSE,4,0,1,0,0,970318,483300,"視聽設備零售",NA,NA,NA,NA,NA,NA
28942045,"6DD7DA34A9",1e+05,2,FALSE,3,0,0,0,0,970320,461515,"建材五金（螺絲、螺帽、鉚釘等金屬製品）批發",464999,"未分類其他機械器具批發",462199,"其他化學原料批發","461516","建材五金（基本金屬）批發"
28942349,"3A6D1C2EA2",95500000,2,TRUE,5,106,0,127,1,970428,271100,"電腦製造",610014,"網際網路接取服務提供（ＩＡＳＰ）",269999,"其他未分類電子零組件製造","464211","電子器材、電子設備批發"
28944472,"07C9EECF16",1e+05,1,TRUE,3,0,0,0,0,970326,451099,"其他商品經紀",NA,NA,NA,NA,NA,NA
28945351,"920EAC2FA4",1.5e+08,2,FALSE,0,0,47,0,50,970429,242211,"鋁合金鑄造",242311,"基本鋁件製造",252211,"金屬門窗（框）製造","254411","基本金屬表面處理"
28946773,"82D3AF9ED0",3e+06,3,FALSE,12,2,0,2,0,970407,464211,"電子器材、電子設備批發",NA,NA,NA,NA,NA,NA
28948694,"825F1C61D7",5e+06,2,TRUE,23,0,0,0,0,970324,457299,"其他化粧品批發",456999,"未分類其他家庭器具及用品批發",NA,NA,NA,NA
28949498,"FB1E91F29A",26200000,2,FALSE,10,0,0,0,0,970327,464211,"電子器材、電子設備批發",457199,"其他藥品及醫療用品批發",457112,"西藥批發",NA,NA
28951775,"8E553DCB76",494817380,2,FALSE,14,2,8,0,7,970401,269911,"電子連接器（線）製造",464211,"電子器材、電子設備批發",NA,NA,NA,NA
28953204,"E510033053",5e+06,2,FALSE,19,0,0,0,0,970407,454999,"未分類其他食品批發",NA,NA,NA,NA,NA,NA
28958051,"EFABA8026C",4445000,1,FALSE,4,1,0,0,0,970414,269999,"其他未分類電子零組件製造",NA,NA,NA,NA,NA,NA
2895911,"BC8B63FBCB",1.36e+08,2,TRUE,12,73,0,78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28960937,"6BF797332C",3e+06,2,FALSE,4,0,3,0,6,970416,464111,"電腦及電腦週邊設備批發",464112,"電腦套裝軟體批發",464211,"電子器材、電子設備批發","464299","其他電子設備及其零組件批發"
28962273,"0BC27E3F2E",2.5e+07,1,FALSE,2,0,0,0,0,970509,232300,"陶瓷衛浴設備製造",293311,"活栓、活閥製造",461313,"衛浴設備批發",NA,NA
28964238,"8356AAB814",5e+06,2,FALSE,2,0,1,0,3,970421,464999,"未分類其他機械器具批發",NA,NA,NA,NA,NA,NA
28968353,"5A59189412",2630000,2,FALSE,4,0,0,0,0,970506,456799,"其他清潔用品批發",194099,"其他化粧品製造",487113,"網際網路拍賣",NA,NA
28986660,"4978D51A62",1.34e+09,3,FALSE,3,7,61,6,25,981113,456199,"其他家庭電器批發",472913,"菸酒零售",NA,NA,NA,NA
28997300,"51B4319E86",0,2,TRUE,13,1854,826,2092,683,990624,760911,"環境顧問服務",269999,"其他未分類電子零組件製造",464211,"電子器材、電子設備批發","456115","通用電池批發"
29003717,"9B7F17B57D",2e+06,2,FALSE,9,14,0,14,0,970918,465311,"汽車零件、汽車百貨批發",464211,"電子器材、電子設備批發",NA,NA,NA,NA
29005481,"4D351B1B3A",5e+06,2,FALSE,4,0,0,0,0,971016,464211,"電子器材、電子設備批發",461999,"未分類其他建材批發",NA,NA,NA,NA
29006432,"E02EBF7A97",5e+05,2,FALSE,1,0,0,0,0,971031,464913,"消防設備批發",456112,"家庭照明器材批發",NA,NA,NA,NA
29006539,"082402ABDB",1.2e+09,2,FALSE,5,50,98,5,28,971105,464299,"其他電子設備及其零組件批發",269999,"其他未分類電子零組件製造",NA,NA,NA,NA
29019921,"3919CA7959",16000,2,FALSE,2,0,0,0,0,980609,455999,"未分類其他服飾品批發",456211,"國產家具（辦公室家具除外）批發",NA,NA,NA,NA
29020960,"C9DC9BCFD9",2e+07,2,FALSE,1,1,0,0,0,980622,464211,"電子器材、電子設備批發",464112,"電腦套裝軟體批發",NA,NA,NA,NA
29031544,"344109B2FC",39893870,2,FALSE,6,1,0,0,0,970529,284299,"其他照明器具製造",269999,"其他未分類電子零組件製造",NA,NA,NA,NA
29033450,"74B70F1ADB",2e+07,3,FALSE,0,0,0,0,0,970603,464111,"電腦及電腦週邊設備批發",464211,"電子器材、電子設備批發",451099,"其他商品經紀",NA,NA
29033682,"C9E842FF57",2e+08,2,FALSE,24,31,0,34,0,970610,639900,"未分類其他資訊供應服務",271999,"未分類其他電腦週邊設備製造",269999,"其他未分類電子零組件製造","464111","電腦及電腦週邊設備批發"
29044837,"631A419EBD",161850330,3,FALSE,3,6,5,1,13,970811,631200,"資料處理、網站代管及相關服務",464111,"電腦及電腦週邊設備批發",474199,"其他家庭電器零售","483111","電腦及電腦週邊設備零售"
29046321,"33FADBAB05",1e+06,3,FALSE,0,0,0,0,0,970910,464211,"電子器材、電子設備批發",451099,"其他商品經紀",452000,"綜合商品批發",NA,NA
29048242,"69350C4FA3",2e+07,2,FALSE,2,29,104,77,64,970801,464918,"實驗設備批發",NA,NA,NA,NA,NA,NA
29050730,"D0C00FE959",1e+07,3,TRUE,217,0,0,0,0,971028,332900,"其他醫療器材及用品製造",457199,"其他藥品及醫療用品批發",712999,"未分類其他技術檢測及分析服務","456312","草蓆、藤蓆批發"
29057115,"4194D2B58C",5e+06,3,TRUE,0,0,0,0,0,970915,454999,"未分類其他食品批發",457299,"其他化粧品批發",NA,NA,NA,NA
